article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
59256427,MERRY APRIL Mr. Wragge's Latest Brands.,89,"The Register (Adelaide, SA : 1901 - 1929)",7,1913-04-03,Article,667,N,0,http://nla.gov.au/nla.news-article59256427,http://trove.nla.gov.au/newspaper/page/4508501
74279404,"The Ararat Advertiser TUESDAY, JANUARY 29, 1918.",229,The Ararat Advertiser (Vic. : 1914 - 1918),2 S,1918-01-29,Article,1628,N,1,http://nla.gov.au/nla.news-article74279404,http://trove.nla.gov.au/newspaper/page/7152663
121473103,QUEENSLAND WEATHER.,492,The Maitland Daily Mercury (NSW : 1894 - 1939),6,1912-02-28,Article,366,N,0,http://nla.gov.au/nla.news-article121473103,http://trove.nla.gov.au/newspaper/page/12442941
63802894,SCATTERED SHOWERS.,75,"The Mail (Adelaide, SA : 1912 - 1954)",3 S,1913-08-02,Article,376,N,0,http://nla.gov.au/nla.news-article63802894,http://trove.nla.gov.au/newspaper/page/5480692
97433848,Yingerbay. (From our correspondent.) June 3.,374,"Western Star and Roma Advertiser (Toowoomba, Qld. : 1875 - 1948)",2,1910-06-08,Article,365,N,0,http://nla.gov.au/nla.news-article97433848,http://trove.nla.gov.au/newspaper/page/10223882
149949880,"West Australia Perth, Wednesday",736,Norseman Times (WA : 1898 - 1920),3,1912-04-11,Article,437,N,0,http://nla.gov.au/nla.news-article149949880,http://trove.nla.gov.au/newspaper/page/18317172
19952108,"The Brisbane Courier. FRIDAY, JANUARY 23, 1914.",16,The Brisbane Courier (Qld. : 1864 - 1933),6,1914-01-23,Article,469,N,2,http://nla.gov.au/nla.news-article19952108,http://trove.nla.gov.au/newspaper/page/1580856
5389850,"WRAGGE AND WEATHER. ADVICE, AND. FORECAST. LOOK OUT FOR ULYSSES. Petersburg, April 1.",34,"The Advertiser (Adelaide, SA : 1889 - 1931)",14,1913-04-03,Article,540,N,0,http://nla.gov.au/nla.news-article5389850,http://trove.nla.gov.au/newspaper/page/959832
206506244,News In Brief.,973,The Beverley Times (WA : 1905 - 1977),2,1912-04-13,Article,768,N,0,http://nla.gov.au/nla.news-article206506244,http://trove.nla.gov.au/newspaper/page/22516619
60092802,WEATHER WARNINGS. THE PROPOSED NORTHERN BUREAU.,97,Townsville Daily Bulletin (Qld. : 1907 - 1954),5,1914-05-15,Article,790,N,3,http://nla.gov.au/nla.news-article60092802,http://trove.nla.gov.au/newspaper/page/4870887
174257893,The Cyclone Season. Need of the North. A Meteorological Station.,840,"The Telegraph (Brisbane, Qld. : 1872 - 1947)",5 S,1914-01-20,Article,862,N,0,http://nla.gov.au/nla.news-article174257893,http://trove.nla.gov.au/newspaper/page/18889548
229349977,THE MOVING PICTURE SHOW Confessions of Mr. Johnson.,1180,"The Sun (Sydney, NSW : 1910 - 1954)",6 S,1913-11-24,Article,980,Y,0,http://nla.gov.au/nla.news-article229349977,http://trove.nla.gov.au/newspaper/page/24536808
39954362,"TH E POST WEDNESDAY, DECEMBER 31, 1913. ANOTHER WARNING.",61,Cairns Post (Qld. : 1909 - 1954),4,1913-12-31,Article,804,N,0,http://nla.gov.au/nla.news-article39954362,http://trove.nla.gov.au/newspaper/page/3876988
186978773,CURRENT TOPICS The Week’s Weather.,866,"Tasmanian News (Hobart, Tas. : 1883 - 1911)",2 S,1910-05-07,Article,554,N,0,http://nla.gov.au/nla.news-article186978773,http://trove.nla.gov.au/newspaper/page/20189375
56994922,MORE SHOWERS AHEAD.,89,"The Register (Adelaide, SA : 1901 - 1929)",6,1913-06-19,Article,562,N,0,http://nla.gov.au/nla.news-article56994922,http://trove.nla.gov.au/newspaper/page/4482725
59086293,Northern Meteorological Station. A PROPOSED SCHEME.,97,Townsville Daily Bulletin (Qld. : 1907 - 1954),2,1914-01-23,Article,2091,N,21,http://nla.gov.au/nla.news-article59086293,http://trove.nla.gov.au/newspaper/page/4870034
174258024,NORTHERN METEOROLOGICAL STATIONS.,840,"The Telegraph (Brisbane, Qld. : 1872 - 1947)",6 S,1914-01-20,Article,912,N,0,http://nla.gov.au/nla.news-article174258024,http://trove.nla.gov.au/newspaper/page/18889549
39926369,MATTERS METEOROLOGICAL. (To the Editor.),61,Cairns Post (Qld. : 1909 - 1954),3,1913-02-14,Article,1085,N,0,http://nla.gov.au/nla.news-article39926369,http://trove.nla.gov.au/newspaper/page/3904775
130032830,"People We Know PEACE, AND THE MAN. Senator Ferricks and His Mission.",596,"Punch (Melbourne, Vic. : 1900 - 1918; 1925)",6,1918-01-24,Article,2584,N,0,http://nla.gov.au/nla.news-article130032830,http://trove.nla.gov.au/newspaper/page/14877429
5410580,MR. WRAGGE'S FORECASTS. To the Editor.,34,"The Advertiser (Adelaide, SA : 1889 - 1931)",23,1913-06-02,Article,617,N,0,http://nla.gov.au/nla.news-article5410580,http://trove.nla.gov.au/newspaper/page/960783
26515695,THE LOSS-OF THE KOOMBANA. To the Editor.,30,"The West Australian (Perth, WA : 1879 - 1954)",9,1912-07-12,Article,680,N,0,http://nla.gov.au/nla.news-article26515695,http://trove.nla.gov.au/newspaper/page/2734339
200871612,MERRY APRIL. Mr. Wragge’s Latest Brands.,967,"The Journal (Adelaide, SA : 1912 - 1923)",1,1913-04-02,Article,528,N,0,http://nla.gov.au/nla.news-article200871612,http://trove.nla.gov.au/newspaper/page/22424776
177211425,NORTHERN METEOROLOGICAL BUREAU.,840,"The Telegraph (Brisbane, Qld. : 1872 - 1947)",2,1915-02-02,Article,557,N,0,http://nla.gov.au/nla.news-article177211425,http://trove.nla.gov.au/newspaper/page/19858699
5795553,USEFUL RAINS. HEAVY SHOWERS IN ADELAIDE.,34,"The Advertiser (Adelaide, SA : 1889 - 1931)",9,1913-08-04,Article,741,N,0,http://nla.gov.au/nla.news-article5795553,http://trove.nla.gov.au/newspaper/page/961795
70107886,A MERRY TIME PREDICTED.,175,The Albany Advertiser (WA : 1897 - 1954),3,1913-04-12,Article,565,N,0,http://nla.gov.au/nla.news-article70107886,http://trove.nla.gov.au/newspaper/page/6299409
